Название,Автор,Раздел,Жанр,Язык прочтения,Статус,Оценка,Размер (стр),Сроки,Заметки
Убить пересмешника,"Ли, Харпер","США, XX","роман воспитания, южная готика",русский,Прочитано,5,416,13.11.2024 - 31.01.2025,Глава 24 (Чаепитие женщин); Артур Рэдли
Гордость и предубеждение,"Остин, Джейн","Великобритания, XIX","эпоха регенства, любовный роман",русский,Прочитано,5,480,30.01.2025 - 02.02.2025,
Дневник Анны Франк,"Франк, Анна","Нидерланды, XX","автобиография, еврейская литература",русский,Прочитано,5,320,02.02.2025 - 04.02.2025,
1984,"Оруэлл, Джордж","Великобритания, XX","антиутопия, социальная фантастика",,В планах,,,,
Гарри Поттер и Философский камень,"Роулинг, Дж. К.","Великобритания, XX",фэнтези,,В планах,,,,
Властелин Колец,"Толкин, Дж. Р. Р.","Великобритания, XX","высокое фэнтези, приключения",русский,В процессе,,890,30.04.2025 - ,
Великий Гэтсби,"Фицджеральд, Фрэнсис Скотт","США, XX",трагедия,,В планах,,,,
Паутина Шарлотты,"Уайт, Элвин Брукс","США, XX",сказка,,В планах,,,,
Маленькие женщины,"Олкотт, Луиза Мэй","США, XIX",роман воспитания,,В планах,,,,
"Хоббит, или Туда и обратно","Толкин, Дж. Р. Р.","Великобритания, XX","высокое фэнтези, детское фэнтези",,В планах,,,,
451° по Фаренгейту,"Брэдбери, Рэй","США, XX",антиутопия,русский,Прочитано,4,258,14.10.2025 - 08.11.2025,цензура и меньшинства
Джейн Эйр,"Бронте, Шарлотта","Великобритания, XIX","любовный роман, готика",,В планах,,,,
Унесённые ветром,"Митчелл, Маргарет","США, XX","эпопея, исторический роман",,В планах,,,,
Скотный двор,"Оруэлл, Джордж","Великобритания, XX","антиутопия, сатира",,В планах,,,,
Над пропастью во ржи,"Сэлинджер, Джером","США, XX",реализм,,В планах,,,,
Приключения Гекльберри Финна,"Твен, Марк","США, XIX","плутовской роман, сатира",,В планах,,,,
Прислуга,"Стокетт, Кэтрин","США, XXI",исторический роман,,В планах,,,,
Гроздья гнева,"Стейнбек, Джон","США, XX",реализм,,В планах,,,,
"Лев, Колдунья и Платяной шкаф","Льюис, Клайв Стейплз","Великобритания, XX",фэнтези,,В планах,,,,
Голодные игры,"Коллинз, Сьюзен","США, XXI","антиутопия, научная фантастика",,В планах,,,,
Книжный вор,"Зусак, Маркус","Австралия, XXI","исторический роман, роман воспитания",,В планах,,,,
Повелитель мух,"Голдинг, Уильям","Великобритания, XX","антиутопия, аллегорический роман",,В планах,,,,
Бегущий за ветром,"Хоссейни, Халед","США, XXI","реализм, исторический роман",,В планах,,,,
Ночь,"Визель, Эли","США, XX","мемуары, еврейская литература",,В планах,,,,
Гамлет,"Шекспир, Уильям","Англия, XVII",трагедия,,В планах,,,,
Повесть о двух городах,"Диккенс, Чарльз","Великобритания, XIX",исторический роман,,В планах,,,,
Излом времени,"Л’Энгль, Мадлен","США, XX","young adult, научная фантастика",,В планах,,,,
Автостопом по Галактике,"Адамс, Дуглас","Великобритания, XX","юмор, научная фантастика",,В планах,,,,
Рождественская песнь в прозе,"Диккенс, Чарльз","Великобритания, XIX",сказка,,В планах,,,,
О мышах и людях,"Стейнбек, Джон","США, XX",трагедия,,В планах,,,,
Таинственный сад,"Бёрнетт, Фрэнсис Элиза","США, XX",детский роман,,В планах,,,,
Ромео и Джульетта,"Шекспир, Уильям","Англия, XVI",трагедия,,В планах,,,,
Рассказ Служанки,"Этвуд, Маргарет","Канада, XX","антиутопия, социальная фантастика",,В планах,,,,
О дивный новый мир,"Хаксли, Олдос","Великобритания, XX","антиутопия, научная фантастика",,В планах,,,,
Маленький принц,"Сент-Экзюпери, Антуан де","Франция, XX",сказка,,В планах,,,,
"Там, где кончается тротуар","Сильверстайн, Шел","США, XX",детские стихи,,В планах,,,,
Грозовой перевал,"Бронте, Эмили","Великобритания, XIX","трагедия, готика",,В планах,,,,
Дающий,"Лоури, Лоис","США, XX","антиутопия, социальная фантастика",,В планах,,,,
Аня из Зелёных Мезонинов,"Монтгомери, Люси Мод","Канада, XX",роман воспитания,,В планах,,,,
Макбет,"Шекспир, Уильям","Англия, XVII",трагедия,,В планах,,,,
Приключения Тома Сойера,"Твен, Марк","США, XX","роман воспитания, плутовской роман, приключения",,В планах,,,,
Гарри Поттер и Дары Смерти,"Роулинг, Дж. К.","Великобритания, XXI","фэнтези, драма",,В планах,,,,
"Франкенштейн, или Современный Прометей","Шелли, Мэри","Великобритания, XIX","ужасы, готика, эпистолярный",,В планах,,,,
Библия,,,религия,,В планах,,,,
Девушка с татуировкой дракона,"Ларссон, Стиг","Швеция, XXI","скандинавский нуар, триллер, детектив",,В планах,,,,
Граф Монте-Кристо,"Дюма, Александр (отец)","Франция, XIX","исторический роман, приключения",,В планах,,,,
Виноваты звёзды,"Грин, Джон","США, XXI","реализм, young adult",,В планах,,,,
Цвет пурпурный,"Уокер, Элис","США, XX",эпистолярный,,В планах,,,,
К востоку от рая,"Стейнбек, Джон","США, XX",семейная сага,,В планах,,,,
Дерево растет в Бруклине,"Смит, Бетти","США, XX",роман воспитания,,В планах,,,,
Уловка-22,"Хеллер, Джозеф","США, XX","исторический роман, сатира, абсурдистская фантастика, черная комедия, военная",,В планах,,,,
Хладнокровное убийство,"Капоте, Трумен","США, XX",журналистика,,В планах,,,,
Противостояние,"Кинг, Стивен","США, XX","дарк фэнтези, постапокалипсис",,В планах,,,,
Алиса в Стране чудес и в Зазеркалье,"Кэролл, Льюис","Великобритания, XIX","сказка, абсурдистская фантастика",,В планах,,,,
Обитатели холмов,"Адамс, Ричард","Великобритания, XX","фэнтези, сказка",,В планах,,,,
Анна Каренина,"Толстой, Лев Николаевич","Россия, XIX","реализм, социально-психологический роман",,В планах,,,,
Игра Эндера,"Кард, Орсон Скотт","США, XX",научная фантастика,,В планах,,,,
Большие надежды,"Диккенс, Чарльз","Великобритания, XIX","автобиография, роман воспитания",,В планах,,,,
Ребекка,"Дюморье, Дафна","Великобритания, XX","детектив, готика",,В планах,,,,
Мемуары гейши,"Голден, Артур","США, XX",исторический роман,,В планах,,,,
Приключения Шерлока Холмса,"Дойл, Артур Конан","Великобритания, XIX",детектив,,В планах,,,,
Гарри Поттер и узник Азкабана,"Роулинг, Дж. К.","Великобритания, XX",фэнтези,,В планах,,,,
Старик и море,"Хемингуэй, Эрнест","США, XX",морская,,В планах,,,,
Песнь льда и огня,"Мартин, Дж. Р. Р.","США, XXI",высокое фэнтези,,В планах,,,,
Принцесса-невеста,"Голдман, Уильям","США, XX","фэнтези, любовный роман, исторический роман",,В планах,,,,
Чарли и Шоколадная фабрика,"Даль, Роальд","Великобритания, XX",сказка,,В планах,,,,
Жизнь Пи,"Мартел, Янн","Канада, XXI",приключения,,В планах,,,,
Столпы Земли,"Фоллетт, Кен","Великобритания, XX",исторический роман,,В планах,,,,
Отверженные,"Гюго, Виктор","Франция, XIX","эпопея, исторический роман, трагедия",,В планах,,,,
Алая буква,"Готорн, Натаниэль","США, XIX","любовный роман, исторический роман",русский,Прочитано,3,318,28.04.2025 - 30.04.2025,"Мужики дурные драматичные идиоты, один вообще от угрызений совести умер"
Дракула,"Стокер, Брэм","Ирландия, XIX","ужасы, готика",,В планах,,,,
Гарри Поттер и Принц-полукровка,"Роулинг, Дж. К.","Великобритания, XXI",фэнтези,,В планах,,,,
И вспыхнет пламя,"Коллинз, Сьюзен","США, XXI","постапокалипсис, young adult, антиутопия, научная фантастика",,В планах,,,,
Воды слонам,"Груэн, Сара","Канада, XXI","любовный роман, исторический роман",,В планах,,,,
Ворон,"По, Эдгар Алан","США, XIX",поэзия,,В планах,,,,
Тайная жизнь пчёл,"Кидд, Сью Монк","США, XXI",исторический роман,,В планах,,,,
Чужестранка,"Гэблдон, Диана","США, XX","исторический роман, любовный роман, научная фантастика",,В планах,,,,
Сто лет одиночества,"Гарсиа Маркес, Габриэль","Колумбия, XX","магический реализм, социально-психологический роман",,В планах,,,,
Библия ядовитого леса,"Кингсолвер, Барбара","США, XX",исторический роман,,В планах,,,,
Земля,"Бак, Перл","Великобритания, XX",исторический роман,,В планах,,,,
Жена путешественника во времени,"Ниффенеггер, Одри","США, XXI","научная фантастика, любовный роман",,В планах,,,,
Празднуя тишину,Шри Шри Рави Шанкар,"Индия, XXI",религия,,В планах,,,,
Молитва об Оуэне Мини,"Ирвинг, Джон","США, XX",роман воспитания,,В планах,,,,
Десять негритят,"Кристи, Агата","Великобритания, XX",детектив,,В планах,,,,
Бессмертная жизнь Генриетты Лакс,"Склут, Ребекка","США, XXI",журналистика,,В планах,,,,
Поющие в терновнике,"Маккалоу, Колин","Австралия, XX",семейная сага,,В планах,,,,
Замок из стекла,"Уоллс, Джаннетт","США, XXI",мемуары,,В планах,,,,
Сойка-пересмешница,"Коллинз, Сьюзен","США, XXI","постапокалипсис, young adult, научная фантастика",,В планах,,,,
"Вещи, которые они несли с собой","О’Брайен, Тим","США, XX",исторический роман,,В планах,,,,
Дорога,"Маккарти, Кормак","США, XX",исторический роман,,В планах,,,,
Рассечение Стоуна,"Вергезе, Абрахам","США, XX",городская проза,,В планах,,,,
Братья Карамазовы,"Достоевский, Фёдор Михайлович","Россия, XIX","детектив, философский роман, религия",,В планах,,,,
Сиддхартха,"Гессе, Герман","Германия, XX",философский роман,,В планах,,,,
Возлюбленная,"Моррисон, Тони","США, XX","магический реализм, исторический роман",,В планах,,,,
История моей жизни,"Келлер, Хелен","США, XX",мемуары,,В планах,,,,
Призрачная будка,"Джастер, Нортон","США, XX",детский роман,,В планах,,,,
"Из архива миссис Базиль Э. Франквайлер, самого запутанного в мире","Конигсбург, Элейн","США, XX",детский роман,,В планах,,,,
Исчезнувшая,"Флинн, Гиллиан","США, XXI",триллер,,В планах,,,,
Преступление и наказание,"Достоевский, Фёдор Михайлович","Россия, XIX","реализм, философский роман, социально-психологический роман",,В планах,,,,
Одиссея,Гомер,Античная Греция,поэма,,В планах,,,,
Любовь и дружба,"Остин, Джейн","Англия, XVIII",эпистолярный,русский,Прочитано,1,47,04.02.2025 - 04.02.2025,"Переоцененный ""гений сатиры"" являющийся пробой пера и фанфиком плохого качества"
История Англии,"Остин, Джейн","Англия, XVIII",бурлеск,русский,Прочитано,4,15,04.02.2025 - 04.02.2025,
Чувство и чувствительность,"Остин, Джейн","Великобритания, XIX",любовный роман,русский,Прочитано,4,383,05.02.2025 - 03.06.2025,"У всех все хорошо, даже у нравственно плохих людей; герои переженились, друзья счастливы; конец скомканый"
Мэнсфилд-парк,"Остин, Джейн","Великобритания, XIX","любовный роман, роман воспитания",русский,В процессе,,480,03.06.2025 - ,
Эмма,"Остин, Джейн","Великобритания, XIX",роман нравов,,В планах,,,,
Доводы рассудка,"Остин, Джейн","Великобритания, XIX",любовный роман,,В планах,,,,
Нортенгерское аббатство,"Остин, Джейн","Великобритания, XIX","готика, любовный роман, сатира",,В планах,,,,
Замок Лесли,"Остин, Джейн","Великобритания, XIX",эпистолярный,русский,Прочитано,3,39,04.02.2025 - 04.02.2025,
Собрание писем,"Остин, Джейн","Великобритания, XIX",эпистолярный,русский,Прочитано,5,29,04.02.2025 - 04.02.2025,
Вегетерианка,Хан Ган,"Южная Корея, XXI","философский роман, реализм",русский,Прочитано,4,318,25.04.2025 - 28.04.2025,
Карточный дом. Психотерапевтическая помощь клиентам с пограничными расстройствами,"Млодик, Ирина Юрьевна","Россия, XXI","публицистика, психология",русский,Прочитано,5,160,27.05.2025 - 27.05.2025,Признаки ПРЛ и принципы работы психотерапевта с ПРЛ
Приключения майора Звягина,"Веллер, Михаил Иосифович","Россия, XX",роман воспитания,русский,Прочитано,4,544,27.05.2025 - 17.06.2025,"Идеалистичное представление расписанной по пунктам жизни от человека, который знает как людям жить правильнее, нужнее и грамотнее. Deus ex machina в лице Звягина."
Серпентариум,Alissa Raut,,фанфикшн,русский,Прочитано,3,635,18.05.2025 - 26.06.2025,"Претенциозная Драмиона с громкой заявкой на оригинальность (за счет новой общей цели - маледиктус), внесенная в фандомные списки маст хэва. Очередной fetl троп с непрописанными персонажами. Концовку слили: антагонист не раскрыт, побочная линия бесцельно стреляет в финале (бессмысленно и пусто)"
Мартин Иден,"Лондон, Джек","США, XX","драма, реализм",русский,Прочитано,3,416,17.06.2025 - 26.06.2025,"Неверная мотивация (Руфь), которая иссякла, стоило только ей отказать Мартину, его депрессия - лучшая часть книги, но самая короткая"
Морской волк,"Лондон, Джек","США, XX",приключения,,В планах,,,,
Овод,"Войнич, Этель Лилиан","США, XIX",любовный роман,,В планах,,,,
Повесть о настоящем человеке,"Полевой, Борис Николаевич","Россия, XX",повесть,,В планах,,,,
В августе сорок четвертого,"Богомолов, Владимир Осипович","Россия, XX",военная,,В планах,,,,
Наполеон,"Тарле, Евгений Викторович","Украина, XX",монография,,В планах,,,,
Талейран,"Тарле, Евгений Викторович","Украина, XX",монография,,В планах,,,,
Жизнь и деятельность Балтазара Коссы,"Парадисис, Александр","Турция, XX","мемуары, исторический роман",,В планах,,,,
Одиссея капитана Блада,"Сабатини, Рафаэль","Великобритания, XX",приключения,,В планах,,,,
Три мушкетера,"Дюма, Александр (отец)","Франция, XIX","приключения, исторический роман",,В планах,,,,
Звёздные часы человечества,"Цвейг, Стефан","Австрия, XX",очерк,,В планах,,,,
Адмирал Нельсон,"Трухановский, Владимир Григорьевич","Россия, XX",мемуары,,В планах,,,,
Спартак,"Джованьоли, Рафаэлло","Италия, XIX",исторический роман,,В планах,,,,
Павел Чжан и прочие речные твари,"Богданова, Вера Олеговна","Россия, XXI","антиутопия, психология",русский,В процессе,,448,20.06.2025 - ,
Красное и черное,Стендаль,"Франция, XIX","психология, исторический роман, роман воспитания, социально-психологический роман",русский,Заморожено,,592,30.07.2025 - ,"Очень тяжело читается, медленно. Жюльен Сорель очень непоследовательный и странный"
О любви,Стендаль,"Франция, XIX",эссе,,В планах,,,,
Герой нашего времени,"Лермонтов, Михаил Юрьевич","Россия, XIX",социально-психологический роман,,В планах,,,,
Любовь Свана,"Пруст, Марсель","Франция, XX","реализм, любовный роман",,В планах,,,,
Пан,"Гамсун, Кнут","Норвегия, XIX","реализм, психология, приключения",,В планах,,,,
Бесы,"Достоевский, Фёдор Михайлович","Россия, XIX","реализм, психология, социально-психологический роман",,В планах,,,,
Мост короля Людовика Святого,"Уайлдер, Торнтон","США, XX","философский роман, психология, исторический роман, повесть",,В планах,,,,
Диалоги,Платон,Античная Греция,философский роман,,В планах,,,,
Война и мир,"Толстой, Лев Николаевич","Россия, XIX","эпопея, исторический роман, любовный роман, военная",,В планах,,,,
БВЛ. Том 1: Поэзия и проза Древнего Востока,,,сборник,,В планах,,,,
Колыбель для кошки,"Воннегут, Курт","США, XX","философский роман, сатира, научный роман",русский,Прочитано,4,281,21.07.2025 - 24.07.2025,Концовка хороша
Демиан,"Гессе, Герман","Германия, XX",роман воспитания,русский,Прочитано,4,220,25.07.2025 - 06.09.2025,
Феномен пропаганды,"Эллюль, Жак","Франция, XX","психология, социология, исследование",,В планах,,,,
Цветы смерти,Ли Тонгон,"Южная Корея, XXI","триллер, иямису",русский,Прочитано,5,288,15.04.2026 - 22.05.2026,
